Invention,Description,Background,Category
Complex Diversity for Inverse Problems,"This invention is a new technique called complex diversity which improves performance of single shot phase retrieval algorithms used in many areas including adaptive optics, microscope imaging, and virtual reality.","Phase retrieval is a technique to measure unknown extrinsic phase disturbances, which is attractive because of its simplicity compared to more complicated systems that involve interferometers or Shack-Hartmann sensors. Phase retrieval drawbacks include the requirement of multiple image acquisitions (“shots”), low accuracy, and stagnation issues. Some of these issues have been overcome by single-shot phase retrieval associated with various diversities.
 
For single-shot techniques, the effective filter applied to the diffracted orders and an accurate reconstruction algorithm that utilizes the effective filters have not been adequately discussed. This research discusses accurate effective filters that are determined in a new diversity concept called complex diversity for single-shot phase retrieval, and an associated reconstruction algorithm is proposed.
 
This technology can improve performance of algorithms used for many areas of current interest, including adaptive optics and virtual reality.",Imaging & Optics
Smartphone-Based Epifluorescence Microscope,"This invention describes a smartphone-based microscope developed for the purposes of increasing the quality of current smartphone-based microscopes without adding additional costs. By utilizing exact measurements and calculations, the claim of the invention is that it can better preserve image quality and improve the field of view when used in conjunction with a smartphone. The quality of the smartphone-based microscope is like a common bench microscope often used in medicine and industry.","Microscopes for clinical applications cost anywhere from several hundred dollars to several thousand. Thinking of the traditional bench microscope, they lack portability and easy access to areas that otherwise would benefit from them. Microscopes serve as an important tool for educational purposes and cell feature identification in specimens especially for clinical uses (such as cancer identification in skin).
 
Ideally, using a smartphone camera as a microscope solves the issues of portability and accessibility as most people have smartphones. However, as a result, issues involving image fidelity and quality arise as one attempts to mount a mechanical system (the microscope) to a digital device (the smartphone). The proposed invention describes an end-user device that ameliorates these issues through specific lens calculations and considerations involving the smartphone/microscope junction.",Imaging & Optics
System and Method for Rapid Prototyping of 3D Heterogeneous Nanostructures,This invention is a system and method used for optically positioning and linking colloidal nanoparticles using an optical tweezer. This invention allows for precise positioning and chemical coatings for linking. It is similar to a 3D printer in that it is capable of nanoscale 3D printing of objects and structures that are made of several different materials but has a much finer resolution than existing 3D printing techniques. The invention combines several tools and methods in a novel way to achieve its capability. The capability of the system to 3D print heterogeneous nanostructures is beyond any nanoscale 3D printers currently on the market.,"Nanotechnology is a field of science and technology that manufactures, uses, or measures structures that have some dimensions that are less than 100 nanometers in length. Nanotechnology has recently seen an enormous amount of interest and advancement (some have even called it “the Industrial Revolution of the twenty-first century”) due to its broad range of applications across many other disciplines and fields. Some of these possibilities include medicine, energy, robotics, manufacturing, and optics. However, prototyping for research and development requires a lot of resources and it can be very expensive and time consuming with many steps involved. 3D printing has become popular in larger scale manufacturing prototyping due to its relatively high turnaround rates and lower costs of machinery. For these reasons, 3D printing on the nanoscale has also become a topic of interest in developing nanotechnology. The limitations to the current state of art nanoscale 3D printers are resolution sizes and being able to print with only one medium (usually a very specific type of material, such as photo-resins).
 
The invention addresses these concerns of current nano-3D printing methods by using a system in which multiple materials (ranging from plastics to metals to biological materials) can all be used in a single print, with very high resolution. The implications of this invention would be that researchers and scientists, or even smaller size businesses would be able to prototype nanotechnology at much lower costs and higher speed than current methods of creating heterogeneous nanostructures.",Imaging & Optics
Aperture Designs To Minimize Diffraction Noise,"This invention is a new aperture design to eliminate deleterious diffraction effects when trying to observe a dim object next to a very bright object, such as a planet next to a star. The novel aspect is in the design and shape of the edges of each pupil section that makes up the aperture. This design reduces the non-uniform distribution of background radiation and enables high fidelity digital image reconstruction with less noise.","Today, large aperture telescopes use segmented primary mirrors that are periodically discontinuous with straight lines. These discontinuities, which mimic a diffraction grating, result in a non-uniform distribution of background light across the image plane, create unwanted ghost images and scatter unwanted radiation to obscure faint objects. This serves as a noise source during digital image reconstruction, which leads to misinterpreted scenes.",Imaging & Optics
Solar Generator with Two-Stage Optical Concentration Onto PV Cells,University of Arizona researchers have developed a photovoltaic (PV) solar power generator that leverages optical design principles to obtain high power conversion performance and the robustness of operation at lower cost.,"As competition continues to grow within the solar power market, more efficient and less costly solar power systems are in high demand. This technology addresses that demand by providing a high performance optical design that focuses light onto multi-junction PV cells, thereby increasing efficiency and reducing cost for the power generated.",Imaging & Optics
Tandem Photovoltaic Module with Diffractive Spectral Separation,Researchers at the University of Arizona have developed a design for a solar concentrating device that has a solar tracker and a diffractive grating as a part of the entrance window or glass for the sunlight to enter through. The technology is designed for use in conjunction with a solar cell for solar panels. The grating delivers specific diffracted orders of light to matched semiconductor material with different band gaps (high and low). The novel grating design can deliver four times the amount of concentrated sunlight than competing designs.,Solar technology has proven to be a source for renewable energy but poses a problem of converting an efficient amount of sunlight (based on how much sunlight is received) into electronic power. Concentrating sunlight for greater efficiency has become a main focus in renewable energy from the sun as a source. Research has proven that dividing the solar spectrum to focus specific wavelengths to focus onto and be absorbed by different band gap material for the best solar to electronic conversion. Since the aforementioned discovery many diffractive and optical interferometric techniques have been employed to increase conversion efficiency.,Imaging & Optics
Achromatic and Polarization Adaptive Optics System,"This invention is an adaptive optics (AO) system for broadband and/or polarization dependent light. The system includes a wavefront sensor and compensator, and the compensator splits the broad waveband into different wavelength and/or polarization states, applies compensation, then recombines the light into a single wavefront with distortions that may be compensated by following optical elements of the AO system. The wavefront compensator is based on known optical corrections techniques but applied in a new way.","Adaptive optics (AO) is a technology used to improve the performance of optical systems by reducing the effect of incoming wavefront distortions by deforming a mirror or applying an optical filter like a spatial light modulator (SLM) in order to compensate for distortions.
In existing AO systems, the compensation is the same for light of all wavelength and polarization states. The system works well as long as the distortions for different wavelength and polarization state are the same. For light sources with a broad range of wavelength and different polarization states, the distortion compensation will be incomplete, leading to greater blur in the spatial resolution in the resulting image. This invention proposes a design of an AO system that can better compensate distortions in broadband and polarized light.",Imaging & Optics
"Stable, Organic Homogenous Photocatalysts Without Expensive, Rare Metals","Novel carbenium-based molecules have been designed, synthesized, and tested for use in homogenous photocatalysis. These compounds are redox active, stable, earth-abundant, easy to synthesize, and the molecular design is tunable. These compounds may also be used as highly fluorescent dyes with long lifetimes.","Heterogeneous photocatalysts are limited by system constraints, including inefficiencies in energy utilization, turnover, chemical species mass transport, and need for surface area for photon exposure. Homogenous and heterogenous catalysts may require rare and expensive materials. Use of toxic metals may necessitate expensive downstream separations to remove trace impurities. Removing such limitations can reduce costs and enable new chemicals routes, including supporting applications in green chemistry and renewable energy.","Energy, Cleantech & Environmental"
Hypknowledge Sleep Management Platform: Algorithm and Messaging Components,This invention is an algorithm that can be populated by data via direct entry from the user or from devices like a Fitbit worn by the user. The algorithm is a way for users to track and understand their sleep so they can better manage their lifestyle. The data entry also gives the user the ability to see the inefficiencies of various sleep tracking devices when they can compare and contrast the data that they personally enter against the data collected by the wearable device. The invention also has an automated messaging component that allows the user to receive direct correspondence via SMS and/or SMTP that can include details and analysis of the sleep data.,We live in a world where sleep is at a premium and many adults are not getting the sleep necessary to live a healthy life. This technology seeks to solve this problem by giving users the ability to analyze their sleep without having to go to a doctor or buy expensive technology.,Software & Information Technology
Multiple-Wavelength Quantitative Phase Imaging Technique,"This invention is a new way to apply adaptive optics principles to image properties of biological cells. This method uses multi-spectral digital holographic imaging and random phase masks to extract phase maps comparable to maps from traditional quantitative phase imaging (QPI) optical systems though with less complication and expense. This method provides a fast, low-cost method for acquiring detailed multi-spectral data for cell objects.","Imaging biological cells and tissues is central to research and medical diagnosis, and imaging tissues requires contrast to distinguish areas of interest from the background. In the past, use of dye or other form of staining or tagging structures was necessary to achieve sufficient contrast but this contrast data was qualitative rather than quantitative. Quantitative phase imaging (QPI) emerged as a method to create a phase map of the sample to indicate refractive / optical path differences through tissue structure. Digital holography captures both phase and amplitude data from interference of reference and object waves, but phase maps do not separate tissue physical thickness differences from refractive differences. Instead, use of multiwavelength digital holography can provide quantitative 3D color images and dispersion information.",Imaging & Optics
Method of Measuring Distorted Illumination Patterns and Correcting Image Artifacts in Structured Illumination Imaging,"This technology is an improvement to the well-established microscopy technique structured illumination microscopy (SIM), which uses a periodic structured pattern of light to image a sample. In SIM, it is common for artifacts to arise during imaging, because the pattern is often distorted due to aberration and index mismatches in samples. These artifacts distort the image and reduce the amount of information that can be extracted from the raw data. This technology is capable of correcting distortions in challenging experimental situations, such as strong background scattering, low signal-to-noise-ratio, and a sparse sample structure. In addition, it is easily applied to existing hardware, making it cost-effective and simple to implement into existing workflows, as opposed to current solutions which utilize much more expensive adaptive optics to accomplish the same effect.","Structured illumination microscopy has been around since the late 1990s but is still being improved as a technique. SIM can be used in multiple ways: optical sectioning structured illumination microscopy (OS-SIM) and super resolution structured illumination microscopy (SR-SIM), among others. OS-SIM allows the technique to act much like a confocal microscope, reducing out-of-focus light and thus increasing contrast. SR-SIM can be used to increase a microscope’s resolution below the diffraction limit of light, previously thought to be impossible. While it is currently better suited to techniques like OS-SIM, this technology has the potential to be applied to both types of SIM.

Other techniques for reduction of out-of-focus light exist, like Leica’s Computational Clearing technology, but they are more limited in their potential applications. This technology has the potential to cheaply and easily improve results from existing structured illumination microscopy hardware in a variety of different applications.",Imaging & Optics
"Fabrication, Design and Application of High Resolution Patterned Polarization Filter","This invention describes achromatic polarization filters that can be integrated with a complementary metal–oxide–semiconductor (CMOS) and charge-coupled device (CCD) detector array to form a polarization camera. The proposed variants of pixelated polarization filters would have applications in display and sensor designs and could cover light sources, such as organic light emitting diodes or liquid crystal light panel, to form a polarization display which can display an image of arbitrary polarization states.","For many applications, there is a need to create an array of polarization filters with well-defined shape and orientation. For existing CMOS and CCD optical sensor arrays, the size of the pixel can be of the order of one micron or smaller. There is a need to create patterned polarization filters that have the same dimension and shape as the pixel. The current problem in practice, is a transition region between regions of one alignment angle and an adjacent region of an alternate alignment angle. This can range from 0.5 to 5 microns and limits the spatial resolution of the patterns in the polarization filter. The disclosed research provides a fabrication technique that can reduce and/or remove the limiting transition regions.",Imaging & Optics
Bioactive Compounds for Use in Inhibiting SARS-CoV-2 Viral Replication,University of Arizona inventors have discovered inhibitors targeting the SARS-CoV-2 main protease. These inhibitors have potential for use as therapeutics against COVID-19 as well as other SARS and MERS strains.,"Viral outbreaks are not new; we have faced SARS, MERS, Nipah, Zika, and several other viral outbreaks in recent history. In late 2019, a novel coronavirus, SARS-CoV-2 (which causes COVID-19), started to circulate through humans. The World Health Organization declared this outbreak a pandemic due to its high transmission rates.
COVID-19 is a beta coronavirus, similar to the human coronaviruses SARS and MERS. With this novel outbreak, there are now seven different strains of human coronaviruses. Coronaviruses are proving, over time, to be a severe threat to humans. Novel treatments that work against conserved areas will be beneficial in the short and long-term as we try to overcome the current and future pandemics.",Healthcare Portfolios
"Method, System and Device for Determining Muscle Function","This technology includes a system, method, and device capable of simply and rapidly measuring muscle function, thereby determining or detecting fatigue, frailty, or decline or muscular function. Despite the clinical significance of this data, there is currently no simple and effective method suitable for routine in-clinic assessment of muscle function. This technology’s strength lies in its ability to produce reliable data while also being inexpensive to assemble for the clinic and easy to use for the patient. It has the potential to enable rapid, cost-effective, and reliable collection of muscle function data which can inform wide variety of diagnoses and provide a better picture of a patient’s health.","Sarcopenia, a condition characterized by loss of skeletal mass and function, is associated with many chronic diseases, including advanced heart failure. Currently, it is often diagnosed by methods that are either simple-to-use but prone to variability between observers, such as anthropometry, or involve exposing the patient to ionizing radiation, like dual energy X-ray absorptiometry. Techniques like mechanomyography have long been investigated for applications in muscle function assessment, but have found limited usefulness.
In addition, the time is right for wearable devices. Devices that assess muscle function in athletics and sports medicine are growing more and more popular, and it is only a matter of time before they make the jump to the clinic. This technology is an excellent opportunity to jump in on the growing popularity of wearable devices, while simultaneously improving assessment and screening of a wide variety of quickly growing disorders such as heart failure, associated with an aging population.",Healthcare Portfolios
Nonlinear Ultrasonic Techniques for In-Situ Process Monitoring of AM Components,"This technology is a method to detect defect formation in additively manufactured metal parts through the building process. It will provide real-time process monitoring and process control in a non-invasive and non-destructive fashion. This method can be used with various types of manufacturing. Currently, it can be used with laser and e-beam powder bed fusion, directed energy deposition and binder jet based additive manufacturing. It is essentially a readymade method for in situ process monitoring and control without having any effect on the underlying building process.","Additive manufacturing (AM) is based on layer-by-layer addition of materials. This is a highly sensitive process as any minor changes to different factors such as laser and material properties could have an impact on quality. As a result, in-process monitoring of additive manufacturing is crucial to assure the quality, integrity and safety of the additive manufactured components.",Engineering & Physical Sciences
"A Method to Create Exponentially Complex ""Classically Entangled"" States in Arrays of One-Dimensional Nonlinear Elastic Waveguides",This technology demonstrates a theoretical new approach to achieving exponentially complex non-separable superpositions of elastic waves in an externally driven elastic system composed of one-dimensional elastic wave guides and nonlinear forces. This nonlinear elastic system is similar to a two-partite two-level quantum system but does not have drawbacks such as decoherence and wave function collapse.,"Quantum computing is an approach to computing based on the principles of quantum theory, which state that subatomic particles can exist in more than one state at once. Conventional or “classic” computers follow the laws of classical physics, which stipulate that its circuits can be only one state at a given time. Since a quantum computer can be in many states simultaneously, it should in theory be able to perform many calculations simultaneously, speeding up the calculations immensely and reducing energy consumption.
 
In the past three years, venture capital investors have invested an estimated $147 million in quantum computing start-ups. Firms in the financial services, aerospace and defense and other sectors are actively investigating quantum computing applications.
 
If certain feasible technological improvements are achieved, quantum processors could be used to carry out the following classes of computational tasks and could become commercially useful within a few years. This technology being a part of a series of disclosures could benefit quantum computing platforms.",Engineering & Physical Sciences
The Use of Active Flow Control to Increase the Acceleration of Airplanes on Takeoff and Reduce the Dependence on Rotation,The technology is the utilization of active flow control (AFC) technology in the leading edge to improve the process of airplane takeoff. It will allow for airplanes to perform a take off without rotating. The AFC technology would allow for the airplane to take off with minimal rotation. The small rotation allows the ability to use smaller landing gear size and in result reduces the overall weight of the aircraft.,"A notable challenge in aviation and in particular naval aviation is reducing the length required for takeoff and landing runs. Currently, flaps and slats are being used before and during takeoff procedure to increase the drag ratio. The adoption of active flow control technologies will propel the abilities of airplanes takeoff process and could alter the designs of future airplanes to lighter structures.",Engineering & Physical Sciences
The Use of Active Flow Control to Eliminate Vertical Stabilizers and Moving Control Surfaces,This technology will use sweeping jet actuators to replace the moving control surface on an airplane tail vertical stabilizers.,"With the aviation industry looking for methods to reduce the amount of material it takes to create an aircraft, there is a need to find alternative designs with less material. Reduced material in producing aircrafts is also favorable because it can result in decreased fuel utilization. Currently vertical stabilizers and rudders are primarily used conjunction with other moveable control surfaces to maneuver aircrafts. The present invention will replace the moving control surfaces on the tail’s vertical stabilizer via sweeping jet actuators, thereby reducing material use and fuel utilization. In addition, these sweeping jet actuators allow for enhanced control of other critical components of the aircraft.",Engineering & Physical Sciences
Open Loop Pointing Technique for Orbital Laser Communications,These inventions are components of a satellite based communication system using nanosatellites called CubeSats. These cube-shaped satellites developed by NASA are approximately four inches with a volume of about a quart and weighing three pounds. The integrated system uses clusters of tethered CubeSats and commercial components that communicate through secure transfers with one another and a ground-based terminal. The tethering allows movement among the satellites for independent pointing while maintaining the cluster. Deployment of multiple clusters enables global communication coverage with high bandwidth intra-cluster transfers. Use of commercial technology reduces cost and complexity.,"There are more than 2,000 satellites in orbit around the Earth. Sending far-reaching signals around the Earth’s curvature requires a relay system of transmitters and receivers to “bend” linear pointing of directed signals. Therefore, smaller satellites capable of creating secure global-scale communication networks will be beneficial. Within the next ten years, governments like the United States and China as well as private companies like SpaceX are likely to launch thousands of micro and nanosatellites to orbit the earth providing communication links and data transfers. Future satellites will focus on ocean data and Earth's atmosphere as well as play a crucial role in the future of technology such as the move to autonomous vehicles. The market for such technology continues to grow as governments view satellites as a way to increase their superiority within the global sphere.",Engineering & Physical Sciences
Spherical Robots for Off-World Surface Exploration,"This invention is a smart spherical robot for the intended use to perform rapid mapping, ground awareness, and synthesizing life-data for real-time use. The system is compact and is intended to withstand environments on other planets.","Rapid advancement in electronics, sensors, actuators, and power have resulted in shrinking devices and instruments for robotic application. Development of real-time geo-mapping is an application that will greatly benefit space exploration and provide safety within the defense industry. The need for real-time geo-mapping will greatly assist in both these industries by:
<ul>
<li>Performing rapid mapping in real-time</li>
<li>Performing ground situation awareness</li>
<li>Synthesizing and making sense of the data acquired for predictive decision making</li>
<li>Using more compact/less expensive controls, sensors, and cameras</li>
</ul>
Even though there is technology in the market that is capable of measurement with 360 degrees, there are limitations to the types of environments that this product can perform in.",Engineering & Physical Sciences
Low Tension Tether System to Constrain Satellite Clusters and Permit High Bandwidth Communications,These inventions are components of a satellite based communication system using nanosatellites called CubeSats. These cube-shaped satellites developed by NASA are approximately four inches with a volume of about a quart and weighing three pounds. The integrated system uses clusters of tethered CubeSats and commercial components that communicate through secure transfers with one another and a ground-based terminal. The tethering allows movement among the satellites for independent pointing while maintaining the cluster. Deployment of multiple clusters enables global communication coverage with high bandwidth intra-cluster transfers. Use of commercial technology reduces cost and complexity.,"There are more than 2,000 satellites in orbit around the Earth. Sending far-reaching signals around the Earth’s curvature requires a relay system of transmitters and receivers to “bend” linear pointing of directed signals. Therefore, smaller satellites capable of creating secure global-scale communication networks will be beneficial. Within the next ten years, governments like the United States and China as well as private companies like SpaceX are likely to launch thousands of micro and nanosatellites to orbit the earth providing communication links and data transfers. Future satellites will focus on ocean data and Earth's atmosphere as well as play a crucial role in the future of technology such as the move to autonomous vehicles. The market for such technology continues to grow as governments view satellites as a way to increase their superiority within the global sphere.",Engineering & Physical Sciences
Nanosatellite Based Low Cost Laser Communications Network for Low Earth Orbit,These inventions are components of a satellite based communication system using nanosatellites called CubeSats. These cube-shaped satellites developed by NASA are approximately four inches with a volume of about a quart and weighing three pounds. The integrated system uses clusters of tethered CubeSats and commercial components that communicate through secure transfers with one another and a ground-based terminal. The tethering allows movement among the satellites for independent pointing while maintaining the cluster. Deployment of multiple clusters enables global communication coverage with high bandwidth intra-cluster transfers. Use of commercial technology reduces cost and complexity.,"There are more than 2,000 satellites in orbit around the Earth. Sending far-reaching signals around the Earth’s curvature requires a relay system of transmitters and receivers to “bend” linear pointing of directed signals. Therefore, smaller satellites capable of creating secure global-scale communication networks will be beneficial. Within the next ten years, governments like the United States and China as well as private companies like SpaceX are likely to launch thousands of micro and nanosatellites to orbit the earth providing communication links and data transfers. Future satellites will focus on ocean data and Earth's atmosphere as well as play a crucial role in the future of technology such as the move to autonomous vehicles. The market for such technology continues to grow as governments view satellites as a way to increase their superiority within the global sphere.",Engineering & Physical Sciences
"Design and Synthesis of Pro-Drugs for Selective, Oral Delivery to the Gastrointestinal Tract","This invention provides a method for oral administration and targeted delivery of pro-drugs bonded to a carbohydrate-based molecular scaffold to the gastrointestinal tract, where the pro-drug is released directly in the gastrointestinal (GI) tract by nitroreductase enzymes naturally present. This technology provides a means of delivery of GI therapies for a number of indications without requiring metabolism through the liver or other systemic exposure.","As one example of GI disease, colorectal cancer is the third most commonly diagnosed cancer in the world. Patients with colorectal cancer often receive chemotherapy as a primary treatment or as a pre/post-surgery treatment for their cancer. One of the most commonly used chemotherapy drugs used in the treatment of colorectal cancer is 5-Fluorouracil. 5-Fluorouracil is used due to its high effectiveness rates against colorectal cancer. Current oral administrations of pro-drugs for 5-Fluorouracil, capecitabine and tegafur, must be metabolized in the liver before 5-FU can be released, thus, the drug is not concentrated in the colon, but rather is systematically available. This leads to adverse effects which might be avoided if 5-FU was specifically released in the colon and remained concentrated there.  Therefore, there is a need for a method that allows release of 5-FU or other active pharmaceutical ingredients in the colon.",Life Sciences
Polyols from Elemental Sulfur and Elastomeric Polyurethanes,"This invention consists of novel sulfur-based polyol polymers which are highly soluble in polar organic solvents and are made in a single chemical step from elemental sulfur. This chemistry enables new polyurethane compositions from sulfur comonomers. The method of synthesis can be easily scaled to large-scale production, and can be processed into water or polar solvent-based formulations. The material may be sprayed or processed into films. Various product families can be made with available polymers used as termonomers.",Research efforts have been directed towards exploiting the special high-performance characteristics of polymers with sulfur in the backbone. Sulfur is a byproduct of refining petroleum which has limited use and is being stockpiled. Sulfur polymers have the potential for reducing the amount of hydrocarbons required for plastic production.,"Energy, Cleantech & Environmental"
"Sulfur Based Polyols for Polyurethanes and Novel Polymeric Materials, including Nonhalogenated Flame Retardants","University of Arizona researchers developed flame retardant sulfur-based polymers that are highly soluble in polar solvents and are made in a single chemical step from elemental sulfur, a low-value byproduct of oil refining and gas processing. This chemistry enables new polyurethane compositions, including non-halogenated flame retardants. The method of synthesis can easily be scaled up, and the polymers can be formulated with polar solvents. The material may be sprayed or processed into films. Various product families can be made with commercial polymers used as termonomers. This technology provides the opportunity to convert waste sulfur into value-added elastomers.",Research efforts have been directed towards exploiting the special high-performance characteristics of polymers with sulfur in the backbone. Sulfur byproduct from fossil fuel desulfurization is of limited use and is being stockpiled. Sulfur-based polymers have the potential for reducing the amount of hydrocarbons required for plastic production.,"Energy, Cleantech & Environmental"
Segmented Optical Component,This technology combines diffraction and refraction in a multi-order diffractive optical surface that is an extension of Fresnel lens technology that reflects numerous orders of wavelengths in a wide bandwidth that is constrained by the refractive dispersion of the lens. This has the advantage of collecting and focusing broader wavebands of light than standard achromatic lenses but at a fraction of the volume and weight.,"Currently, there are a number of reflective and refractive systems that are used in different types of optical applications. Fresnel lenses with shaped optical surfaces were proposed for large telescopes in the early 2000s in order to reduce volume and weight for space telescope applications. National research centers, like Lawrence Livermore National Laboratory, proposed large scale thin membrane lens with Fresnel surfaces in the late 1990s. Ophthalmic uses for combinations of Fresnel surfaces in a single lens appeared in the mid 2000s with patents for progressive lenses.
 
The proposed technology is an engineered Fresnel diffractive surface lens that could potentially replace complex optical systems for a fraction of the cost and weight. Inventor Dr. Milster has been a part of the James C. Wyant College of Optical Sciences since 1989, and during this time he has been performing research within hyper-numerical aperture imaging, microscopy, data storage, near-field optics, and lithography fields. Dr. Milster is joined by students working on instrument development projects using freeform optics.",Imaging & Optics
Retinal Resolution and Single-Chip Multiplexed Image Transfer for AR Near-to-Eye Displays,"This invention is a single-chip, field of view (FOV) selective, and variable resolution image projection design for augmented reality near-to-eye displays (AR-NEDs). The disclosure lays out the design for a multiplexed full color image transfer via single image guide, to achieve design requirements such as full color, 90 degrees FOV, and retinal image resolution.","For mobile augmented reality near-to-eye displays (AR-NEDs), reduction of size, weight, cost, and power of display optics is highly anticipated while increasing resolution, field of view (90 degrees in horizontal full FOV), optical efficiency, and the eye box size to accommodate FOV. Among display components/optics, holographic waveguide employed for AR-NED is one of the bottle necks that limits FOV up to several tens of degrees per single color. Moreover, pixel counts exceed the state-of-the-art of micro displays if the entire FOV of 90 degrees supports retinal resolution. Headsets are currently being used widely for entertainment, creative purposes, designing, medicine, therapy, business management and training. The result of this tech is that it demonstrates power efficient, full color, retinal resolution, and 90 degree FOV display within a single layer waveguide design.",Imaging & Optics
Co-doping of Holmium (Ho) and Dysprosium (Dy) with Erbium (Er) for Low-Cost High-Efficiency Diode-Pumped Laser at 3-Micron Meter Wavelength Range,"For many applications, the output of a laser diode is coupled into an optical fiber to direct the light beam more easily. This fiber can be doped with rare earth metals such as Erbium to increase efficiency and absorption. Instead of using Erbium (Er3+) exclusively for doped fiber lasers, this method proposes the use of codoped Er3+ fiber lasers with Holmium (Ho3+) and Dysprosium (Dy3+). Current Er3+-doped lasers can only reach the 2.8-2.9 micron wavelength range but deliver a high power output. Ho3+/ Dy3+-doped lasers lack the power output of Er3+-doped lasers but are able to reach wavelength regions above 3 microns. By codoping Ho3+ and Dy3+with Er3+, compact all-fiber lasers above 3-micron meter can be developed with the use of readily available, high power, and efficient diode lasers.","Erbium is the most common rare earth element used in fiber lasers because the available atomic energy levels for excitation and decay better match light energy output (wavelengths) from cheaper diode sources. Fiber laser beam quality is high and the power output is over 6kW, which is very high compared with a traditional gas or crystal laser. Fiber lasers are also efficient (70%-80%) which means they consume less power and are easier to cool. Because the beam remains focused within a fiber, it can be very small which makes fiber lasers an excellent source for laser cutting.

A fiber laser requires an energy source, such as 980nm pumped light from a laser diode coupled to the fiber, to produce the beam. This light energy source stimulates emission in the doped material of the fiber which creates the beam along the laser fiber. Emission is generally lower energy than the pumped energy – 1535nm compared with 980nm – but some heavy metal fluoride upconversion fiber lasers (ZBLAN) use multiple stimulated phonon transitions to produce higher energy emissions (480nm output with 1140nm input). ZBLAN fiber lasers may also be used for longer wavelength emission in the “eye-safe” region beyond 1400nm though output power remains lower than for shorter wavelengths.",Imaging & Optics
Rayleigh-Raman Polychromatic Laser Guide Star,A Rayleigh-Raman polychromatic laser guide star is implemented in an adaptive optics system to allow for the measurement of the tilt at the wavelength of observation. This technology makes use of the dispersion of the refractive index of and on or more differential tilt measurements at multiple wavelengths returned from the Rayleigh-Raman spectrum.,"Adaptive optics systems require wavefront tilt compensation. Existing tilt measurement systems rely on light from a source that traverses the medium in a single. Laser guide stars create a reference source anywhere in the field of view to enable a wavefront measurement through turbulence. However, many existing laser guide stars cannot act as a tilt measurement reference source due to the double pass nature of the reference light. The technology is an improvement upon current technologies and will allow for the measurement of the tilt at the wavelength of observation. This method is scalable and offers flexibility in selecting multiple lasers of different wavelengths to measure from.",Imaging & Optics
Novel Compounds that Selectively Inhibit HSP70 Isoforms for the Treatment of Cancer,"These compounds target a specific peptide binding domain of Heat Shock Protein 70 (HSP70) isoforms. The method in which these compounds have been derived allows for HSP70 isoform specificity. Many HSP70 targeted drugs have been unsuccessful due to the variety of HSP70 isoforms, and lack of specificity to a particular isoform.","Cancer cells have an increased burden on protein quality control machinery due to their rapid growth rates and the required transforming mutations that can produce unstable proteins. This increased need has led to the development of drugs targeting protein quality control pathways. HSP70s in concert with their co-factors HSP40s (J-Proteins) and nucleotide exchange factor (NEFs), use ATP binding and hydrolysis to catch and release unfolded polypeptides to prevent aggregation and give them the chance to reach their native, functional state. Many cancers have increased levels of a given HSP70 isoform, leading to increased survival and chemoresistance, making HSP70s potential drug targets. Concerns for HSP70s drugability have been raised because of the difficulties with isoform specificity, there are 13 HSP70 isoforms described in humans. Diverse studies and evaluations of patient samples have indicated differential up-regulation of HSP70s, arguing for isoform selective compounds as both probes and potential therapeutics.",Life Sciences
Close Range PET,"This invention involves moving the detector ring of a PET system closer to the patient while improving the spatial resolution and reducing the blurriness of resulting images. By moving the detector module closer, the quantity of samples tested, and the solid angle covered by the scanner are increased.","Currently, PET system’s sensitivity is very limited and has poor spatial resolution. With these problems comes longer scan times and inaccurate diagnoses which can affect the lives of patients. PET scanners are mostly used for cancer, brain disorders, and heart condition diagnosis.",Imaging & Optics
Curved Combiner,The Curved Combiner is an improvement on flat waveguide head-up (i.e. windshields) and near to eye displays (i.e. glasses). The curved nature of the invention allows for image expansion and aesthetically pleasing hardware to be used in a diversified set of applications. The invention contains three holograms to redirect or expand the light that passes through the curved waveguide. Each hologram has a different function to ensure that the image has no aberrations which can occur when using curved waveguides.,"Waveguides are currently being produced using flat glass pieces. The advantage of flat waveguides is the small chance of image aberrations when injecting an image through the waveguide. However, flat waveguides limit the opportunity for image expansion and real-world applications. Current systems are bulky and limit integration capabilities. To address this issue, the present invention describes a curvature of the waveguide. The curvature allows the invention to be integrated into more modern applications.",Imaging & Optics
Shelf-Stable Reagent for Bioconjugation and Protein Labeling,"This invention is a new class of amine-reactive, water-stable, small molecules for use as probes, reagents, or bioconjugates. These molecules are lysine-reactive and conjugate quickly without the need for coupling reagents or catalysts. The molecules are simple to synthesize and purify, with high yields.  These materials selectively react with lysine for a range of pH levels. The probes of the present invention may be used to label proteins in a fluorescent manner, for purification, imaging, or general protein modifications. The long shelf life makes this invention suitable for use as a reagent for diagnostic kits.","Protein bioconjugation techniques are critical to multiple areas of investigation, including but not limited to probing solvent exposed protein structures for biophysical characterization, or for attaching antibodies, imaging agents or cytotoxic drugs.  Where common lysine-reactive probes such as N-hydroxysuccinimide (NHS) esters are not hydrolytically stable, and isothiocyanates face synthetic challenges including functional group incompatibility, this invention provides compound stability, synthetic ease, and thermodynamic selectivity.",Research Tools
